STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
1,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801069,45,4,39,0.0889,45,0.0889
2,"C/ ROGER DE FLOR, 126",41.3954877,2.1771985,29,2,23,0.0690,29,0.0690
3,"C/ NÀPOLS, 82",41.3941557,2.1813305,27,23,3,0.8519,27,0.8519
4,"C/ RIBES, 13",41.3933173,2.1812483,21,5,16,0.2381,21,0.2381
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",41.3911035,2.1801763,39,6,33,0.1538,39,0.1538
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",41.3914292,2.1805685,39,18,17,0.4615,39,0.4615
7,"PG. PUJADES,  1 (JUTJATS)",41.3888850,2.1832900,27,23,3,0.8519,27,0.8519
8,"PG. PUJADES, 2",41.3891350,2.1834890,27,23,0,0.8519,27,0.8519
9,"AV. MARQUÉS DE L'ARGENTERA,13",41.3845460,2.1849220,27,18,8,0.6667,27,0.6667
10,"C/ 60, NÚMERO 25",41.3467746,2.1436235,43,20,23,0.4651,43,0.4651
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",41.3812425,2.1933482,35,30,3,0.8571,35,0.8571
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.3833653,2.1946255,26,6,15,0.2308,26,0.2308
13,"C/ MARINA, 25-33",41.3881430,2.1955510,54,35,18,0.6481,54,0.6481
14,"AV. MARQUÉS DE  L'ARGENTERA, 15",41.3848440,2.1850850,27,20,5,0.7407,27,0.7407
15,"C/ DIPUTACIÓ, 272",41.3916117,2.1689032,27,5,22,0.1852,27,0.1852
17,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,42,33,6,0.7857,42,0.7857
18,"C/ ROSSELLÓ, 453",41.4060589,2.1740472,27,1,25,0.0370,27,0.0370
19,"C/ ROSSELLÓ, 354",41.4031491,2.1707947,30,0,12,0.0000,30,0.0000
20,"C/ CARTAGENA, 308",41.4103140,2.1757334,18,9,9,0.5000,18,0.5000
21,"C/ SANT ANTONI MARIA CLARET, 214",41.4108439,2.1740575,21,1,19,0.0476,21,0.0476
22,"C/ SARDENYA, 292",41.4016969,2.1757670,19,7,9,0.3684,19,0.3684
23,"C/ BRUC, 45",41.3924661,2.1717397,27,6,20,0.2222,27,0.2222
24,"C/ MARINA, 199",41.4005784,2.1788855,39,3,35,0.0769,39,0.0769
25,"C/ BRUC, 102",41.3954041,2.1681961,21,0,21,0.0000,21,0.0000
26,"C/ DOS DE MAIG, 230-232",41.4071692,2.1820722,18,7,9,0.3889,18,0.3889
27,"C/ PROVENÇA, 322",41.3967524,2.1646338,21,3,18,0.1429,21,0.1429
28,"C/ SARDENYA, 362",41.4055143,2.1706498,23,0,20,0.0000,23,0.0000
29,"C/ PROVENÇA, 388-390",41.4010610,2.1699410,23,5,15,0.2174,23,0.2174
30,"C/ CASTILLEJOS, 184",41.4021805,2.1829894,29,2,26,0.0690,29,0.0690
31,PL. DEL MAR,41.3748001,2.1889045,18,11,6,0.6111,18,0.6111
32,LA BARCELONETA (CN BARCELONETA),41.3736911,2.1889280,15,3,9,0.2000,15,0.2000
33,"C/ PONTEVEDRA, 58B | C/ JUDICI",41.3768600,2.1906700,21,11,9,0.5238,21,0.5238
34,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,21,4,17,0.1905,21,0.1905
35,"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,54,48,4,0.8889,54,0.8889
36,"AV. DE LA CATEDRAL, 6",41.3850616,2.1766834,21,14,6,0.6667,21,0.6667
37,PG. DE COLOM - VIA LAIETANA,41.3806240,2.1820675,24,19,1,0.7917,24,0.7917
